date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:50	131/131	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%2260c7059a-9c%22	https://dumpsterapp.mobi/robots.txt		(from )
14:13:51	65658/65658	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Apr%202023%2011:13:51%20GMT	https://dumpsterapp.mobi/	index-2.html	(from )
14:13:51	180852/180852	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225dfc7405-2c274%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/fonts/roboto/Roboto-Black.eot	wp-content/themes/dumpster/fonts/roboto/Roboto-Black.eot	(from https://dumpsterapp.mobi/)
14:13:52	94889/94889	---M-Z	200	added ('OK')	text/css	etag:W/%226373f725-172a9%22	https://dumpsterapp.mobi/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	wp-includes/css/dist/block-library/style.min6a4d.css	(from https://dumpsterapp.mobi/)
14:13:53	217/217	---M-Z	200	added ('OK')	text/css	etag:W/%226373f725-d9%22	https://dumpsterapp.mobi/wp-includes/css/classic-themes.min.css?ver=1	wp-includes/css/classic-themes.min68b3.css	(from https://dumpsterapp.mobi/)
14:13:53	741/741	---M--	200	added ('OK')	application/rss+xml	etag:%22d0c85f698068f84b1f602aa06ce72ada%22	https://dumpsterapp.mobi/comments/feed/	comments/feed/index.html	(from https://dumpsterapp.mobi/)
14:13:54	87352/87352	---M--	200	added ('OK')	application/rss+xml	etag:%22d0c85f698068f84b1f602aa06ce72ada%22	https://dumpsterapp.mobi/feed/	feed/index.html	(from https://dumpsterapp.mobi/)
14:13:54	1796/1796	---M-Z	200	added ('OK')	text/css	etag:%2260c8feb8-2fd%22	https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/normalize.css?ver=1623785144	wp-content/cache/min/1/wp-content/themes/dumpster/css/normalize2829.css	(from https://dumpsterapp.mobi/)
14:13:55	2433/2433	---M-Z	200	added ('OK')	text/css	etag:%2260c8feb9-159%22	https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/font.css?ver=1623785145	wp-content/cache/min/1/wp-content/themes/dumpster/css/font3962.css	(from https://dumpsterapp.mobi/)
14:13:57	936/936	---M-Z	200	added ('OK')	text/css	etag:W/%225dfc73ce-3a8%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/css/owl.theme.default.min.css?ver=1.32	wp-content/themes/dumpster/css/owl.theme.default.mindbe6.css	(from https://dumpsterapp.mobi/)
14:13:58	165348/165348	---M-Z	200	added ('OK')	text/css	etag:%2260c8feb9-7b4e%22	https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/css/all.min.css?ver=1623785145	wp-content/cache/min/1/wp-content/themes/dumpster/fonts/fontawesome-pro-5.11.2-web/css/all.min3962.css	(from https://dumpsterapp.mobi/)
14:13:58	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%225dfc73ce-b78%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/css/owl.carousel.min.css?ver=1.32	wp-content/themes/dumpster/css/owl.carousel.mindbe6.css	(from https://dumpsterapp.mobi/)
14:13:59	14966/14966	---M-Z	200	added ('OK')	text/css	etag:W/%225dfc73ce-3a76%22	https://dumpsterapp.mobi/wp-content/themes/dumpster/css/select2.min.css?ver=1.32	wp-content/themes/dumpster/css/select2.mindbe6.css	(from https://dumpsterapp.mobi/)
14:14:00	19421/19421	---M-Z	200	added ('OK')	text/css	etag:%2260c8feb9-e12%22	https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/styles.css?ver=1623785145	wp-content/cache/min/1/wp-content/themes/dumpster/css/styles3962.css	(from https://dumpsterapp.mobi/)
14:14:01	10701/10701	---M-Z	200	added ('OK')	text/css	etag:%2260c8feb9-9ba%22	https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/css/responsive.css?ver=1623785145	wp-content/cache/min/1/wp-content/themes/dumpster/css/responsive3962.css	(from https://dumpsterapp.mobi/)
14:14:02	2267/2267	---M-Z	200	added ('OK')	text/css	etag:%2260c8feb9-36f%22	https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/themes/dumpster/style.css?ver=1623785145	wp-content/cache/min/1/wp-content/themes/dumpster/style3962.css	(from https://dumpsterapp.mobi/)
14:14:03	226/226	---M-Z	200	added ('OK')	text/css	etag:%2260c8feb9-9a%22	https://dumpsterapp.mobi/wp-content/cache/min/1/wp-content/cache/busting/1/sccss.css?ver=1623785145	wp-content/cache/min/1/wp-content/cache/busting/1/sccss3962.css	(from https://dumpsterapp.mobi/)
14:14:04	89684/89684	---M-Z	200	added ('OK')	application/javascript	etag:W/%226373f725-15e54%22	https://dumpsterapp.mobi/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	wp-includes/js/jquery/jquery.mina7a0.js	(from https://dumpsterapp.mobi/)
14:14:05	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:W/%226373f725-2bd8%22	https://dumpsterapp.mobi/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://dumpsterapp.mobi/)
14:14:06	7732/7732	---M-Z	200	added ('OK')	application/json	date:Fri,%2014%20Apr%202023%2011:14:06%20GMT	https://dumpsterapp.mobi/wp-json/wp/v2/pages/6	wp-json/wp/v2/pages/6.json	(from https://dumpsterapp.mobi/)
14:14:07	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2014%20Apr%202023%2011:14:07%20GMT	https://dumpsterapp.mobi/xmlrpc.php?rsd	xmlrpc0db0.php	(from https://dumpsterapp.mobi/)
14:14:08	242365/242365	---M-Z	200	added ('OK')	application/json	date:Fri,%2014%20Apr%202023%2011:14:07%20GMT	https://dumpsterapp.mobi/wp-json/	wp-json/index.html	(from https://dumpsterapp.mobi/)
14:14:08	1045/1045	---M-Z	200	added ('OK')	text/xml	etag:W/%226373f725-415%22	https://dumpsterapp.mobi/wp-includes/wlwmanifest.xml	wp-includes/wlwmanifest.xml	(from https://dumpsterapp.mobi/)
14:14:09	2667/2667	---M-Z	200	added ('OK')	application/json	date:Fri,%2014%20Apr%202023%2011:14:09%20GMT	https://dumpsterapp.mobi/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdumpsterapp.mobi%2F	wp-json/oembed/1.0/embedbc37.json	(from https://dumpsterapp.mobi/)
14:14:10	2787/2787	---M-Z	200	added ('OK')	text/xml	date:Fri,%2014%20Apr%202023%2011:14:10%20GMT	https://dumpsterapp.mobi/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdumpsterapp.mobi%2F&format=xml	wp-json/oembed/1.0/embed2530	(from https://dumpsterapp.mobi/)
14:14:11	799/799	---M-Z	200	added ('OK')	image/png	etag:W/%225e6a4d28-31f%22	https://dumpsterapp.mobi/wp-content/uploads/2019/11/cropped-dumpster-photo-and-video-restore-logo-1-32x32.png	wp-content/uploads/2019/11/cropped-dumpster-photo-and-video-restore-logo-1-32x32.png	(from https://dumpsterapp.mobi/)
14:14:12	7216/7216	---M-Z	200	added ('OK')	image/png	etag:W/%225e6a4d28-1c30%22	https://dumpsterapp.mobi/wp-content/uploads/2019/11/cropped-dumpster-photo-and-video-restore-logo-1-192x192.png	wp-content/uploads/2019/11/cropped-dumpster-photo-and-video-restore-logo-1-192x192.png	(from https://dumpsterapp.mobi/)
14:14:13	6563/6563	---M-Z	200	added ('OK')	image/png	etag:W/%225e6a4d28-19a3%22	https://dumpsterapp.mobi/wp-content/uploads/2019/11/cropped-dumpster-photo-and-video-restore-logo-1-180x180.png	wp-content/uploads/2019/11/cropped-dumpster-photo-and-video-restore-logo-1-180x180.png	(from https://dumpsterapp.mobi/)
